Digital_Footprint,Number of Apps Installed,Usage_Intensity,Battery Drain (mAh/day),App Usage Time (min/day),Data Usage (MB/day),Screen On Time (hours/day),Battery_per_App_Usage,App_Screen_Ratio,Data_per_App_Usage,Device Model_iPhone 12,Age_Group
0.9235652522893939,0.9325842696629212,0.8387152898601155,0.9312523225566703,0.8661971830985915,0.9294363256784969,0.9272727272727271,0.12580540058913098,0.4936539169106239,0.3903586647727273,0.0,0.0
0.3584589003611952,0.550561797752809,0.2671375878627601,0.34782608695652173,0.4154929577464789,0.3077244258872652,0.40909090909090906,0.07711232720043087,0.5210139015533267,0.2243557224025974,1.0,0.0
0.08208982451019738,0.0,0.008525297515484724,0.09067261241174286,0.09330985915492958,0.0780793319415449,0.009090909090909094,0.20100936891170346,0.9449216937818945,0.2621753246753247,0.0,0.3333333333333333
0.20945674778357476,0.15730337078651685,0.05379636717934442,0.31884057971014496,0.198943661971831,0.12359081419624218,0.26363636363636367,0.3044464096920693,0.33379885140215326,0.17636465097402595,1.0,1.0
0.5801743952716262,0.651685393258427,0.38687452153942514,0.6863619472315124,0.5316901408450704,0.5089770354906055,0.5818181818181818,0.1979174285695287,0.46547807585864887,0.3289493709415585,1.0,0.0
0.36560983618519466,0.48314606741573035,0.16836592664764422,0.5395763656633222,0.27992957746478875,0.2826722338204593,0.4,0.3826425783457786,0.30760186207227525,0.3458172686688311,1.0,1.0
0.17322777189974098,0.23595505617977525,0.04802004314844457,0.25269416573764397,0.12323943661971833,0.15699373695198332,0.12727272727272726,0.41530410729365447,0.41251939658620085,0.4260602678571429,0.0,1.0
0.9092633806413952,0.9325842696629212,0.8322430231748904,0.9855072463768116,0.8591549295774648,0.8446764091858038,0.7818181818181817,0.14726280163041666,0.6110188606805204,0.34510704139610393,1.0,0.3333333333333333
0.21872377686161482,0.30337078651685395,0.10867144547289304,0.20587142326272762,0.2605633802816902,0.19498956158663885,0.2727272727272727,0.08678045893703745,0.4588344451376559,0.2289848823051948,1.0,1.0
0.17760589587361814,0.32584269662921345,0.07754541025819472,0.22779635823114086,0.1637323943661972,0.15281837160751569,0.26363636363636367,0.2594570153799096,0.251971652989074,0.30449726055194803,0.0,0.0
0.8629647196176439,0.8089887640449438,0.7687730531004245,0.986250464511334,0.903169014084507,0.6680584551148226,0.9454545454545454,0.130114169065968,0.5100382332709443,0.2226308847402597,0.0,0.3333333333333333
0.639716881316356,0.7078651685393258,0.5580068202380124,0.7160906726124118,0.7288732394366197,0.4559498956158664,0.4636363636363636,0.10186779794003631,0.9112156260498154,0.16611708603896105,0.0,0.3333333333333333
0.6157831369258273,0.7752808988764044,0.4119284570951353,0.770345596432553,0.4823943661971832,0.5807933194154489,0.5,0.28657964904814776,0.4957623458271345,0.44665685876623384,0.0,1.0
0.8379364442336459,0.9550561797752808,0.9114238986707495,0.9487179487179488,0.9242957746478873,0.6108559498956159,0.7727272727272727,0.11023930953315025,0.6823247108508903,0.182807426948052,0.0,0.0
0.05534678390309754,0.06741573033707865,0.004941192845709513,0.08881456707543665,0.015845070422535218,0.0801670146137787,0.08181818181818182,0.6681250872725095,0.07537873334293166,0.7580027394480519,0.0,0.6666666666666666
0.892517056441315,0.8202247191011236,0.7724441506019903,0.9479747305834262,0.8961267605633803,0.7954070981210857,0.9909090909090909,0.12010692129183259,0.47270560381372895,0.29720474837662336,1.0,1.0
0.9400926702907805,0.8089887640449438,0.8401071751687661,0.8807134894091416,0.9911971830985915,0.9002087682672234,0.9181818181818181,0.06790964884866779,0.6025899441698263,0.3079342532467533,0.0,0.3333333333333333
0.8538436280053996,0.898876404494382,0.9132507481383534,0.7911557041991825,0.9806338028169015,0.7482254697286013,0.9818181818181818,0.043712722170874574,0.5438530818575932,0.2343496347402597,0.0,1.0
