App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,Operating System,Usage_Intensity,Screen_Data_Ratio
0.19014084507042256,0.1,0.13303604607952435,0.1348314606741573,0.13444676409185805,0.5609756097560976,1.0,0.0,0.04550428751960808,0.09916940215712963
0.32922535211267606,0.2909090909090909,0.4451876625789669,0.3595505617977528,0.24008350730688938,0.1951219512195122,1.0,0.0,0.17787362065869583,0.17819219869261252
0.00528169014084507,0.07272727272727272,0.011891490152359727,0.06741573033707865,0.00459290187891441,0.43902439024390244,1.0,1.0,0.0002981443899728615,0.7830571957796493
0.7359154929577465,0.4818181818181818,0.6473429951690821,0.6853932584269662,0.5156576200417536,0.8048780487804879,0.0,0.0,0.5111470992470726,0.08450251070504641
0.19190140845070425,0.20909090909090908,0.23597175771088813,0.15730337078651685,0.1966597077244259,0.17073170731707316,1.0,0.0,0.06761835711147776,0.15010355403406814
0.07042253521126761,0.06363636363636363,0.021181716833890765,0.0,0.002922755741127353,0.9512195121951221,0.0,0.0,0.008264472143262898,0.7619429763314653
0.11971830985915492,0.09090909090909091,0.23151244890375328,0.24719101123595505,0.14822546972860126,0.2439024390243903,0.0,0.0,0.045261480535349875,0.06296089058176327
0.3961267605633803,0.4,0.5336306205871423,0.3595505617977528,0.30229645093945723,0.07317073170731708,0.0,0.0,0.24432932758276046,0.19930683774167632
0.05985915492957747,0.027272727272727282,0.06986250464511336,0.0449438202247191,0.02045929018789145,0.6097560975609757,1.0,0.0,0.011782350077980569,0.32683923984567675
0.019366197183098594,0.054545454545454564,0.007803790412486064,0.0898876404494382,0.04968684759916494,0.6097560975609757,1.0,0.0,0.001552270697036738,0.24202230618719048
0.05985915492957747,0.054545454545454564,0.0884429580081754,0.10112359550561797,0.06680584551148225,0.4146341463414634,1.0,0.0,0.013589285774785796,0.17119211834314277
0.8556338028169014,0.9636363636363635,0.8034188034188035,0.8089887640449438,0.6951983298538622,0.26829268292682934,1.0,0.0,0.7120060713039413,0.20129016024064691
0.09154929577464789,0.06363636363636363,0.09513192121887774,0.06741573033707865,0.07599164926931107,0.26829268292682934,1.0,0.0,0.019911302043983073,0.16370675863292297
0.06690140845070423,0.027272727272727282,0.10442214790040878,0.0,0.07473903966597079,0.1951219512195122,1.0,0.0,0.016460054863085098,0.0782872264580515
0.6936619718309859,0.6090909090909091,0.5800817539947974,0.6179775280898876,0.42338204592901885,0.8292682926829269,0.0,0.0,0.4401119396664171,0.22224365248781883
0.36971830985915494,0.3363636363636364,0.43180973615756224,0.47191011235955055,0.25302713987473907,0.9268292682926831,1.0,0.0,0.19247591975850306,0.20557499793631337
0.3433098591549296,0.4,0.39687848383500557,0.38202247191011235,0.2876826722338205,0.902439024390244,1.0,0.0,0.16813310791810518,0.2174977462747247
0.0035211267605633825,0.03636363636363635,0.04236343366778149,0.02247191011235955,0.04008350730688936,0.9268292682926831,0.0,1.0,0.0015912327479990999,0.23117727466811008
